DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2014-08-21T13:37:43.000+00:00,59.941,-153.130,100.0,2.9,ml,,,,1.00,ak,ak11362977,1408630046429
2014-08-21T12:45:17.300+00:00,37.500,-118.804,9.5,2.8,Md,32,137,0.1,0.05,nc,nc72281186,1408628528146
2014-08-21T12:27:40.790+00:00,2.983,125.988,119.7,4.8,mb,,46,2.6,1.20,us,usb000s4xz,1408625959736
2014-08-21T11:49:44.000+00:00,63.073,-150.389,100.0,3.2,ml,,,,0.80,ak,ak11362906,1408622755423
2014-08-21T10:45:50.000+00:00,59.560,-152.924,99.5,2.7,ml,,,,0.66,ak,ak11362847,1408618644504
2014-08-21T10:39:45.720+00:00,-21.035,-178.714,528.8,4.5,mb,,79,4.5,0.89,us,usb000s4xf,1408620335000
2014-08-21T09:57:31.400+00:00,40.162,-121.061,,2.5,Md,30,126,0.2,0.19,nc,nc72281146,1408625167178
2014-08-21T09:01:00.460+00:00,-17.699,-172.983,10.0,5.0,mb,,79,21.1,1.41,us,usb000s4vh,1408616004379
2014-08-21T08:47:11.000+00:00,61.141,-149.659,91.0,2.5,ml,,,,1.29,ak,ak11362780,1408611922470
2014-08-21T08:11:19.260+00:00,32.423,76.472,10.0,4.9,mb,,56,3.0,1.04,us,usb000s4v3,1408610202720
2014-08-21T08:09:55.380+00:00,-2.721,-77.865,90.4,4.5,mb,,142,3.0,1.06,us,usb000s4v5,1408611340741
2014-08-21T06:34:26.610+00:00,48.592,155.329,31.9,4.6,mb,,133,4.8,0.68,us,usb000s4te,1408611996963
2014-08-21T06:33:12.900+00:00,18.911,-64.554,30.0,2.7,Md,4,317,0.5,0.23,pr,pr14233005,1408608178117
2014-08-21T06:22:29.060+00:00,-21.604,-179.184,586.6,4.5,mb,,58,4.6,0.72,us,usb000s4t9,1408607169000
2014-08-21T05:56:43.800+00:00,18.701,-65.527,41.0,2.7,Md,6,245,0.5,0.14,pr,pr14233004,1408629557732
2014-08-21T04:33:49.600+00:00,36.684,-121.016,10.3,3.8,Mw,88,54,0.2,0.30,nc,nc72281046,1408627998959
2014-08-21T04:22:43.000+00:00,60.624,-152.644,39.0,2.6,ml,,,,0.69,ak,ak11362627,1408623920552
2014-08-21T04:22:13.000+00:00,61.095,-152.570,31.1,2.5,ml,,,,1.75,ak,ak11362623,1408623879823
2014-08-21T03:45:08.400+00:00,19.035,-64.216,24.0,3.1,Md,5,328,0.7,0.12,pr,pr14233003,1408621660726
2014-08-21T03:41:02.000+00:00,63.869,-148.808,100.0,3.6,ml,,,,0.75,ak,ak11362581,1408621416479
2014-08-21T03:01:18.000+00:00,56.779,-155.173,71.6,2.8,ml,,,,0.55,ak,ak11362556,1408619043092
2014-08-21T02:11:32.470+00:00,-5.221,150.652,12.3,5.8,mwp,,22,1.8,1.18,us,usb000s4s2,1408616044687
2014-08-21T01:59:52.600+00:00,18.567,-65.365,102.0,2.9,Md,4,238,0.4,0.07,pr,pr14233002,1408615341473
2014-08-21T00:50:46.800+00:00,18.049,-65.016,24.0,2.5,Md,5,133,0.3,0.23,pr,pr14233001,1408611194607
2014-08-21T00:46:09.750+00:00,32.319,-115.403,,2.5,ml,15,144,0.1,0.42,ci,ci37260288,1408610916169
2014-08-21T00:37:32.000+00:00,51.791,178.326,119.8,3.0,ml,,,,0.78,ak,ak11362479,1408610399553
2014-08-20T23:29:43.390+00:00,-2.659,138.535,49.6,4.4,mb,,52,6.3,0.79,us,usb000s4re,1408606336625
2014-08-20T23:18:20.300+00:00,-59.096,-17.121,10.0,5.1,mb,,76,11.7,0.49,us,usb000s4rb,1408621503000
2014-08-20T22:54:00.810+00:00,36.253,-97.083,5.0,2.8,mb_lg,,66,0.3,0.42,us,usb000s4sx,1408599647000
2014-08-20T21:34:46.000+00:00,61.441,-150.677,39.9,2.7,ml,,,,0.64,ak,ak11362324,1408599432229
2014-08-20T21:24:38.010+00:00,-11.797,165.143,10.0,4.8,mb,,112,5.6,0.48,us,usb000s4qj,1408598830975
2014-08-20T20:21:49.320+00:00,52.422,175.365,10.0,5.0,mb,,97,0.8,0.93,us,usb000s4ph,1408595069778
2014-08-20T20:12:37.920+00:00,52.521,175.397,4.3,5.4,mb,,29,0.8,0.83,us,usb000s4pb,1408607784000
2014-08-20T20:01:02.990+00:00,-5.601,150.921,7.5,4.5,mb,,138,1.9,0.72,us,usb000s4nz,1408593815816
2014-08-20T19:38:24.730+00:00,33.212,138.109,306.5,5.3,mb,,20,1.4,0.73,us,usb000s4nk,1408592456948
2014-08-20T19:03:17.790+00:00,32.735,47.517,10.0,4.3,mb,,123,6.6,0.72,us,usb000s4ml,1408590359458
2014-08-20T16:33:58.790+00:00,37.248,-97.963,6.8,3.1,mb_lg,,98,0.0,0.40,us,usb000s4lf,1408575025354
2014-08-20T16:02:12.000+00:00,58.947,-152.365,62.8,2.9,ml,,,,0.33,ak,ak11361794,1408579479342
2014-08-20T15:22:40.000+00:00,56.565,-158.108,90.8,2.6,ml,,,,0.78,ak,ak11361760,1408577121592
2014-08-20T14:23:02.000+00:00,56.012,-161.857,100.0,2.8,ml,,,,2.08,ak,ak11361741,1408573529948
2014-08-20T13:52:26.600+00:00,35.886,-97.268,4.5,2.5,ml,,66,,0.60,us,usb000s4kt,1408570519768
2014-08-20T13:10:22.641+00:00,41.891,-119.634,,2.6,ml,4,218,0.5,0.11,nn,nn00456632,1408569184975
2014-08-20T12:51:06.280+00:00,21.707,143.057,281.3,4.3,mb,,87,5.4,0.96,us,usb000s4jp,1408568027049
2014-08-20T11:31:59.430+00:00,35.896,-97.218,5.0,3.3,mb_lg,,59,0.2,0.59,us,usb000s4jb,1408588468498
2014-08-20T11:14:33.590+00:00,32.212,-115.214,27.6,3.4,ml,19,200,0.1,0.41,ci,ci37259944,1408580543544
2014-08-20T11:01:39.500+00:00,35.894,-97.229,7.2,3.2,mb_lg,,60,0.2,0.41,us,usb000s4iv,1408588402865
2014-08-20T10:28:38.060+00:00,32.598,47.653,10.0,4.2,mb,,156,10.7,0.45,us,usb000s4iq,1408559472860
2014-08-20T10:14:15.690+00:00,32.641,47.805,10.0,5.7,mwp,,43,6.9,0.80,us,usb000s4if,1408542970000
2014-08-20T09:04:00.000+00:00,51.338,-177.280,37.1,3.5,ml,,,,0.70,ak,ak11361527,1408564490842
2014-08-20T08:34:19.200+00:00,36.781,-121.389,3.3,2.8,Ml,71,25,0.0,0.10,nc,nc72280531,1408598335728
2014-08-20T07:35:16.000+00:00,60.059,-145.626,5.0,2.5,ml,,,,0.98,ak,ak11361500,1408563810420
2014-08-20T07:33:29.000+00:00,59.963,-153.557,164.8,2.7,ml,,,,0.60,ak,ak11361492,1408564487229
2014-08-20T07:30:15.000+00:00,52.035,176.624,76.8,3.3,ml,,,,0.79,ak,ak11361490,1408563817747
2014-08-20T05:36:30.000+00:00,52.365,-170.067,25.8,3.1,ml,,,,0.79,ak,ak11361438,1408558202368
2014-08-20T04:37:00.500+00:00,35.871,-121.483,10.8,2.8,Md,112,194,0.1,0.15,nc,nc72280446,1408596202742
2014-08-20T04:05:15.070+00:00,38.968,-111.418,1.8,3.3,ml,,,,,uu,uu60081707,1408536475931
2014-08-20T02:19:00.000+00:00,60.055,-153.500,100.0,2.5,ml,,,,2.61,ak,ak11361396,1408530088798
2014-08-20T01:11:41.830+00:00,-3.807,137.640,60.4,4.9,mb,,126,5.5,1.17,us,usb000s4gh,1408526062612
2014-08-20T00:30:51.760+00:00,50.895,173.308,9.9,4.5,mb,,136,1.9,0.99,us,usb000s4ga,1408523608333
2014-08-20T00:22:31.000+00:00,51.828,178.325,99.2,3.4,ml,,,,1.00,ak,ak11361337,1408523111187
2014-08-20T00:11:38.580+00:00,49.566,154.898,102.7,4.2,mb,,167,4.0,0.59,us,usb000s4g4,1408522458137
2014-08-19T23:51:51.000+00:00,-20.732,-70.714,41.3,4.3,mb,,,,1.13,us,usb000s4qi,1408572451384
2014-08-19T23:37:30.200+00:00,0.432,146.283,15.0,4.6,mb,,89,14.6,1.15,us,usb000s4ft,1408520409523
2014-08-19T23:30:04.580+00:00,32.634,47.547,10.0,4.4,mb,,123,9.4,0.95,us,usb000s4fn,1408519964312
2014-08-19T23:12:52.950+00:00,-20.753,-70.674,19.1,4.6,mb,,140,0.5,0.99,us,usb000s4fd,1408551197000
2014-08-19T23:07:16.900+00:00,35.764,-97.470,5.0,2.7,ml,,104,,0.38,us,usb000s4fm,1408534133983
2014-08-19T22:42:33.220+00:00,-14.875,66.294,10.0,4.8,mb,,60,18.7,0.69,us,usb000s4fj,1408517135102
2014-08-19T22:27:18.880+00:00,36.918,69.349,18.4,4.1,mb,,62,1.0,1.39,us,usb000s4en,1408572671598
2014-08-19T21:32:17.870+00:00,32.824,47.596,10.0,5.3,mb,,40,9.2,1.05,us,usb000s4e8,1408512896334
2014-08-19T20:28:07.220+00:00,-3.291,139.813,30.0,4.7,mb,,47,9.5,1.39,us,usb000s4dm,1408549522434
2014-08-19T19:14:40.171+00:00,41.883,-119.635,3.4,3.1,ml,4,219,0.5,0.05,nn,nn00456574,1408548087000
2014-08-19T19:14:09.074+00:00,41.875,-119.631,1.7,2.8,ml,5,221,0.5,0.15,nn,nn00456572,1408547483000
2014-08-19T19:08:28.000+00:00,62.155,-149.318,25.9,2.8,ml,,,,0.63,ak,ak11360691,1408546584000
2014-08-19T18:19:57.600+00:00,-52.911,9.800,11.1,5.1,mb,,70,22.0,1.06,us,usb000s4bw,1408545016827
2014-08-19T17:59:11.300+00:00,32.552,47.647,10.9,4.5,mb,,94,9.5,0.74,us,usb000s4bf,1408544208177
2014-08-19T17:16:50.200+00:00,17.798,-65.594,16.0,2.5,Md,4,292,0.3,0.03,pr,pr14231004,1408540858000
2014-08-19T17:15:33.400+00:00,35.810,-97.441,4.0,2.7,ml,,102,,0.77,us,usb000s4b3,1408541179836
2014-08-19T17:12:20.630+00:00,5.563,126.385,60.1,5.0,mb,,58,1.7,0.84,us,usb000s4as,1408541444012
2014-08-19T17:02:59.020+00:00,36.169,66.607,19.0,4.2,mb,,116,2.6,1.38,us,usb000s4ah,1408541876768
